label,text
spam,"Congratulations! You have won a cash prize. Click the link to claim now."
spam,"URGENT! Your bank account has been suspended. Verify your details immediately."
spam,"Free entry in a lucky draw! Reply WIN to receive your reward."
spam,"Claim your shopping voucher now before your account expires tonight."
spam,"Your parcel is on hold. Pay the small delivery fee using this link."
spam,"Limited time offer! Get rich fast with this investment plan."
spam,"You have been selected for a reward. Send your IC number to proceed."
spam,"Security alert: unusual login detected. Confirm your password here."
spam,"Final warning! Your e-wallet will be blocked unless you update now."
spam,"Earn money from home easily. No experience needed. Join today."
spam,"Your tax refund is ready. Submit your banking details to receive payment."
spam,"Congratulations winner! Tap this link to collect your smartphone."
spam,"Act now to avoid account closure. Login and confirm your identity."
spam,"Exclusive loan approval guaranteed. Apply now with zero checks."
spam,"Your subscription payment failed. Update card details to continue service."
legitimate,"Hi, are we still meeting for the assignment discussion tonight?"
legitimate,"Please send me the lecture slides when you are free."
legitimate,"The class has been moved to 2 PM tomorrow."
legitimate,"Can you review my report draft before submission?"
legitimate,"I have transferred the money for lunch. Please check."
legitimate,"Your appointment is confirmed for Friday at 10 AM."
legitimate,"Remember to bring your student ID for the presentation."
legitimate,"The package arrived safely. Thank you for helping me collect it."
legitimate,"I will be late by fifteen minutes because of traffic."
legitimate,"Let's use the library meeting room to finish the prototype."
legitimate,"Please update the spreadsheet with the latest survey results."
legitimate,"Your internet bill for June has been paid successfully."
legitimate,"Thanks for your email. I will reply after class."
legitimate,"The restaurant booking is confirmed for seven people tonight."
legitimate,"Don't forget our group call at 8 PM to discuss the model results."
